row_id,waktu,tweet_id,username,tweet,web,kota,provinsi
51,3/24/2021 8:05,1.37E+18,KODIM1409/ Bontonompo Gowa, Bontonompo melaksanakan komunikasi sosial komsos   pembahasan tentang pelaksanaan  pembatasan kegiatan Masyarakat berskla mikro (PpkM) dan vaksinasi ,https: / / t. co/ Jt1DM8mjNA,Bontonompo Gowa,
52,3/24/2021 8:02,1.37E+18,KODIM1409/ Bontonompo Gowa,"di kantor desa dusun katangka jalan poros katangka Bategulung desa katangka,  kec. Bontonompo Bontonompo Gowa  rtu  bahtiar (babinsa desa katangka) koramil 08 Bontonompo melaksanakan komunikasi sosial( komsos )  pembahasan tentang pelaksanaan  pembatasan kegiatan Masyarakat berskla mikro. ",https: / / t. co/ u2q5zFgTgo,Bontonompo Gowa,
53,3/24/2021 7:57,1.37E+18,Pemprov NT,berbagai upaya dalam memutus rantai penyebaran covid19 terus dilakukan.  kali ini PpkM Mikro berbasis RT menjadi langkah yang dipilih.   bagaimana Instruksi Menteri Dalam Negeri Nomor 6 Tahun 2021 tentang Perpanjangan Pemberlakukan  pembatasan Kegiatan Masyarakat berbasis Mikro,https: / / t. co/ Q1iFiwjGwa,,
54,3/24/2021 7:41,1.37E+18,Kodim 1013 Muara Teweh,"Koramil 1013- 11/ Sumer barito Tegakan Protkes Covid- 19  Murung Raya -  Koramil 1013- 11/ Sumer barito mengimplementasikan pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM) di Kecamatan Sumer barito,  pada hari  lasa (23/ 30/ 21). ",https: / / t. co/ HolUCYRd3,Sumer barito,
55,3/24/2021 7:35,1.37E+18,JDIH Kabupaten  semarang,Instruksi bupati  semarang Nomor 6 Tahun 2021 tentang Perpanjangan pemberlakuan  pembatasan Kegiatan Masyarakat berbasis Mikro Untuk pengendalian penyebaran Corona Virus Di a  2019 Di Kabupaten  semarang,https: / / t. co/ UWHLKHirdq,semarang,
56,3/24/2021 7:02,1.37E+18,kejati_kalteng,"Rapat Koordinasi Dalam Rangka Kesiapan pelaksanaan pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM) di Provinsi Provinsi Kalimantan Tengah yang dipimpin oleh gubernur Kalimantan Tengah H.  Sugianto Saran.  (Rabu,  24 Maret 2021)",https: / / t. co/ RippCy4QN5,prov Kalimantan tenagh ,
57,3/24/2021 6:52,1.37E+18,Humas Polres Metro bekasi Kota,GIAT PATROLI wilayah  himbauan PROKES 5M PENEGAKAN DISIPLIN PROKES DAN penerapan pemberlakuan jam  pembatasan Masyarakat  RTA ANTISIPASI GANGGUAN GUANTIMAS. ,https: / / t. co/ efeGaGUSDW,bekasi,
58,3/24/2021 6:43,1.37E+18,NalaR ®️ ☕,PT ank Mandiri Tk mencatatkan tren pertumuhan uang elektronik kartu.  Tren transaksi e- Money per Januari 2021 tumuh 12 per n  cara year on year (YoY) meskipun di awal tahun mulai dijalankan pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM) yang ketat. ,https: / / t. co/ 98LPerhohL,,
59,3/24/2021 6:19,1.37E+18,Kodim0504Jakarta latan,Koramil 07/ Cilandak ( Pelda RA. Syukur dan  rtu Endang ) dan Psk KO melaksanakan giat pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM) dengan menggelar Operasi Yustisi Protokol Covid- 19 bersama Tiga Pilar tingkat Kecamatan Cilandak bertempat di Jl.   bandara Kel.  Pondok Lau. ,https: / / t. co/ iptMDry8ys,Cilandak,
60,3/24/2021 6:14,1.37E+18,Humas Polsek Telukjame Timur,"Ops yustisi dalam rangka pelaksanaan PpkM (pemberlakuan  pembatasan Kegiatan Masyarakat) berskla mikro di wilayah Kecamatan Telukjame Timur,  dengan sasaran warga yg tidak memakai masker.  
Dalam Operasi ini petugas melakukan pemeriksaan pengendara yg melintas.  ",https: / / t. co/ FjUe5kxVOT,Teluk Jame,
61,3/24/2021 6:13,1.37E+18,Kodim0504Jakarta latan,babinsa  Kel. Pengadegan  monitoring dan melaksanakan Woro -  Woro Operasi Timas dalam Rangka penerapan  pembatasan Kegiatan Masyarakat (PpkM) Mikro terhadap pelanggar Protokol Covid- 19 ,https: / / t. co/ Mf1hTH1vIF,Jakarta  latan,
62,3/24/2021 6:10,1.37E+18,Humas Polres Dairi,"pemberlakuan  pembatasan KEGIATAN Masyarakat (PpkM) berbasis MIKRO POLRES DAIRI  Rabu,  24 Maret 2021  Njuah Njuah Sobat Dairi dimanapun  Masa pandemi Covid 19 belum terakhir dan masih melanda bumi kita. ",https: / / t. co/ I9AnCJNhWq,,
63,3/24/2021 6:08,1.37E+18,Kodim0504Jakarta latan,Operasi Yustisi 3 Pilar Kecamatan  tiaudi dalam rangka Kamtimas  rta penerapan pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM) menuju tatanan baru  ,https: / / t. co/ 3OH2qsZJTA,Jakarta  latan,
64,3/24/2021 6:07,1.37E+18,Humas Polsek Telukjame Timur,"Ops yustisi dalam rangka pelaksanaan PpkM (pemberlakuan  pembatasan Kegiatan Masyarakat) berskla mikro di wilayah wilayah Kecamatan Telukjame Timur,  dengan sasaran warga yg tidak memakai masker.  Dalam Operasi ini petugas melakukan pemeriksaan pengendara yg melintas. ",https: / / t. co/ PchWW7ohtw,Taluk Jame,
65,3/24/2021 6:06,1.37E+18,DIKYASA POLRES Ngawi,"Dalam Rangka pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM) ,  Satlantas polres Ngawi melaksanakan giat Sosialisi dan pembagian Masker tentang pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM)",https: / / t. co/ oEw6sweTV3,Ngawi,
66,3/24/2021 6:06,1.37E+18,DIKYASA POLRES Ngawi,"Dalam Rangka pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM) ,  Satlantas polres Ngawi melaksanakan giat Sosialisi dan pembagian Masker tentang pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM)",https: / / t. co/ FgTG9li5ZO,Ngawi,
67,3/24/2021 6:06,1.37E+18,DIKYASA POLRES Ngawi,"Dalam Rangka pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM) ,  Satlantas polres Ngawi melaksanakan giat Sosialisi dan pembagian Masker tentang pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM)", https: / / t. co/ LnavoGggrT,Ngawi,
72,3/24/2021 6:03,1.37E+18,HumasPolsekinjaibaratnews,"Telah dilaksanakananakan giat *PpkM (pemberlakuan  pembatasan Kegiatan Masyarakat)* Mikro dalam rangka menekan dan mencegah penyebaran virus Covid 19,  dengan mengambil lokasi PpkM ",https: / / t. co/ JW5pjeuDEO,,
73,3/24/2021 5:59,1.37E+18,Kodim_1014_p. un,"bersama gubernur Kalteng H.  Sugianto Saran S. E dan FKPD Koar,  Dandim 1014 / Pn Letkol Arh Drajad Tri Putro S. E,  menghadiri rapat koordinasi dalam rangka kesiapan menghadapi perpanjangan pelaksanaan pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM) mikro. ", https: / / t. co/ 8fAzogdOFq,,
74,3/24/2021 5:12,1.37E+18,kodimone,"Posko PpkM Mikro mberupkan pos komando yang dientuk ditingkat Desa/ Kelurahan untuk melakukan mekanisme koordinasi,  pengawasan dan evaluasi pelaksanaan Pemberlakukan  pembatasan Kegiatan Masyarakat (PpkM) berskla mikro. ", https: / / t. co/ rCaNNF6pkx,   Bone,
75,3/24/2021 5:05,1.37E+18,Humas Polda Jaar, hubungan pemerintah telah memberlakukan  pembatasan Sosial Skala besar dalam rangka pencegahan virus covid 19 namun saat ini di  pembatasan ter ut sudah diberlakukan menerapkan Adaptasi kebiasaan baru dan Sosialisasi pemberlakuan  pembatasan Kegiatan Masyarakat  cara Micro. ,https: / / t. co/ WDYISFiZKX,andung,
76,3/24/2021 4:58,1.37E+18,kodimone,babinsa Koramil Koptu Irpan bersama Bhabinkamtibmas pe rta Perangkat Desa mendirikan Posko tangguh Covid 19 di masa pemberlakuan  pembatasan Kegiatan Masyarakat ( PpkM) skala mikro di kantor Desa Abanuang Kecamatan Awangpone Kabupaten one. ,https: / / t. co/ 9gqgWZkI6h,Ka one,
77,3/24/2021 4:51,1.37E+18,kejariartim," Kepala Kejari artim Daniel Panannangan,  SH. , MH.  menghadiri Rapat Koordinasi Dalam Rangka Kesiapan pelaksanaan pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM) Provinsi Kal- Teng oleh gubernur Kal- Teng yang dilaksanakananakan  cara virtual di rumah jaatan bupati. ",https: / / t. co/ IKyZ3rDYH,,
78,3/24/2021 4:43,1.37E+18,humasreskaranga m,tanggal 24 Maret 2021 di lokasi sasaran intervensi pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM) wilayah bali dilakukan pembagian masker oleh personel TNI- Polri  anyak 305 masker dalam rangka mendukung optimbalisasi PpkM. ,https: / / t. co/ zM1jxRsaoa,,
79,3/24/2021 4:09,1.37E+18,Kodim_Takalar,"Gal l -  Pelda Muh Nawar (babinsa Kalesong kota) bersama 4 Personel Koramil 1426- 04/ Gal l melaksanakan ppemberlakuan  pembatasan kegiatan Masyarakat (PpkM ) Skala Mikro untuk mewujudkan Masyarakat produktif dan aman dari covid- 19,  di wilayah Galesong   Takalar.   ",https: / / t. co/ lN0RrSFX9,,
81,3/24/2021 4:02,1.37E+18,Perekonomian Maju,"Stok beras harus dijaga  besar 1 hingga 1, 5 juta ton.  Terlebih,  saat ini pemerintah melakukan pengadaan beras besar- besaran untuk pasokan beras bansos  lama pemberlakuan  pembatasan kegiatan Masyarakat dan pandemi Covid- 19. ",https: / / t. co/ 2KDLzdHTT2,,
82,3/24/2021 3:58,1.37E+18,Kodim_Takalar,pemberlakuan  pembatasan kegiatan Masyarakat (PpkM) Skala Mikro dalam rangka mewujudkan Masyarakat produktif dan aman dari covid- 19 di Pasar  ntral Takalar Kel.  ,https: / / t. co/ I1UE9RKiOl,,
83,3/24/2021 3:27,1.37E+18,Polsek Jebres Surakarta,Tegakkan Disiplin 5 M Polsek Jebres Gelar Ops Yustisi.   Dalam rangka menegakkan pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM) berbasiskan Mikro Polsek Jebres Menggelar Ops Yustisi  ,https: / / t. co/ ODmL9a76I,,
85,3/24/2021 3:16,1.37E+18,Polsek Patumak,Giat Kanit sahara Polsek Patumak bersama Personil Polsek Patumak melaksanakan Kegiatan tentang Ops Yustusu/  Razia Yustisi dan pemberlakuan  pembatasan kegiatan Masyarakat (PpkM) berbasis Mikro Di Pajak Simpang Limun,https: / / t. co/ 8J8sIVD3HH,,
86,3/24/2021 3:01,1.37E+18,Kodim 0503/ J,babinsa Koramil 02/ Tamora bersama Tiga Pilar MenSosialisasikan Kepada Warga Masyarakat tentang arti Pentingnya  Pentingnya  penerapan  pembatasan Kegiatan Masyarakat (PpkM) ,https: / / t. co/ WNqFZK98oJ,,
